      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.241       62     +    0    0    0	(PREX
    0:00.568      146     N    0    0    0
    0:01.265      325     N    0    0    0
    0:01.965      505     N    0    0    0
    0:02.661      684     N    0    0    0
    0:03.358      863     N    0    0    0
    0:04.058     1043     N    0    0    0
    0:04.747     1220     N    0    0    0
    0:05.440     1398     N    0    0    0
    0:06.136     1577     N    0    0    0
    0:06.833     1756     N    0    0    0
    0:07.529     1935     N    0    0    0
    0:08.237     2117     N    0    0    0
    0:08.934     2296     N    0    0    0
    0:09.634     2476     N    0    0    0
    0:10.339     2657     N    0    0    0
    0:11.039     2837     N    0    0    0
    0:11.755     3021     N    0    0    0
    0:12.463     3203     N    0    0    0
    0:13.183     3388     N    0    0    0
    0:13.918     3577     N    0    0    0
    0:14.646     3764     N    0    0    0
    0:15.381     3953     N    0    0    0
    0:16.105     4139     N    0    0    0
    0:16.837     4327     N    0    0    0
    0:17.556     4512     N    0    0    0
    0:18.272     4696     N    0    0    0
    0:18.984     4879     N    0    0    0
    0:19.696     5062     N    0    0    0
    0:20.416     5247     N    0    0    0
    0:21.136     5432     N    0    0    0
    0:21.852     5616     N    0    0    0
    0:22.560     5798     N    0    0    0
    0:23.268     5980     N    0    0    0
    0:23.969     6160     N    0    0    0
    0:24.673     6341     N    0    0    0
    0:25.362     6518     N    0    0    0
    0:26.047     6694     N    0    0    0
    0:26.735     6871     N    0    0    0
    0:27.241     7001     V    0    0    0
    0:28.117     7226     N    0    0    0
    0:28.798     7401     N    0    0    0
    0:29.479     7576     N    0    0    0
    0:30.160     7751     N    0    0    0
    0:30.837     7925     N    0    0    0
    0:31.514     8099     N    0    0    0
    0:32.195     8274     N    0    0    0
    0:32.875     8449     N    0    0    0
    0:33.556     8624     N    0    0    0
    0:34.241     8800     N    0    0    0
    0:34.934     8978     N    0    0    0
    0:35.642     9160     N    0    0    0
    0:36.140     9288     V    0    0    0
    0:37.082     9530     N    0    0    0
    0:37.790     9712     N    0    0    0
    0:38.494     9893     N    0    0    0
    0:39.195    10073     N    0    0    0
    0:39.891    10252     N    0    0    0
    0:40.588    10431     N    0    0    0
    0:41.288    10611     N    0    0    0
    0:41.996    10793     N    0    0    0
    0:42.704    10975     N    0    0    0
    0:43.401    11154     N    0    0    0
    0:44.109    11336     N    0    0    0
    0:44.813    11517     N    0    0    0
    0:45.521    11699     N    0    0    0
    0:46.230    11881     N    0    0    0
    0:46.930    12061     N    0    0    0
    0:47.630    12241     N    0    0    0
    0:48.323    12419     N    0    0    0
    0:49.027    12600     N    0    0    0
    0:49.720    12778     N    0    0    0
    0:50.416    12957     N    0    0    0
    0:51.113    13136     N    0    0    0
    0:51.809    13315     N    0    0    0
    0:52.498    13492     N    0    0    0
    0:52.996    13620     V    0    0    0
    0:53.879    13847     N    0    0    0
    0:54.568    14024     N    0    0    0
    0:55.253    14200     N    0    0    0
    0:55.942    14377     N    0    0    0
    0:56.626    14553     N    0    0    0
    0:57.311    14729     N    0    0    0
    0:58.000    14906     N    0    0    0
    0:58.685    15082     N    0    0    0
    0:59.370    15258     N    0    0    0
    1:00.058    15435     N    0    0    0
    1:00.751    15613     N    0    0    0
    1:01.455    15794     N    0    0    0
    1:02.160    15975     N    0    0    0
    1:02.868    16157     N    0    0    0
    1:03.591    16343     N    0    0    0
    1:04.307    16527     N    0    0    0
    1:05.016    16709     N    0    0    0
    1:05.728    16892     N    0    0    0
    1:06.440    17075     N    0    0    0
    1:07.148    17257     N    0    0    0
    1:07.860    17440     N    0    0    0
    1:08.580    17625     N    0    0    0
    1:09.296    17809     N    0    0    0
